naics,census,naics_description,sgf_code,sgf_description
561,govadm,Administrative and support services,G25,Governmental administration
GFGD,govadm,Federal general government (defense),G25,Governmental administration
GFGN,govadm,Federal general government (nondefense),G25,Governmental administration
GFE,govadm,Federal government enterprises,G25,Governmental administration
GSLG,govadm,State and local general government,G25,Governmental administration
GSLE,govadm,State and local government enterprises,G25,Governmental administration
493,govadm,Warehousing and storage,E25,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",E25,Governmental administration
512,govadm,Motion picture and sound recording industries,E25,Governmental administration
513,govadm,Broadcasting and telecommunications,E25,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",E25,Governmental administration
HS,govadm,Housing,E25,Governmental administration
ORE,govadm,Other real estate,E25,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,E25,Governmental administration
5411,govadm,Legal services,E25,Governmental administration
5415,govadm,Computer systems design and related services,E25,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",E25,Governmental administration
55,govadm,Management of companies and enterprises,E25,Governmental administration
561,govadm,Administrative and support services,E25,Governmental administration
GFGD,govadm,Federal general government (defense),E25,Governmental administration
GFGN,govadm,Federal general government (nondefense),E25,Governmental administration
GFE,govadm,Federal government enterprises,E25,Governmental administration
GSLG,govadm,State and local general government,E25,Governmental administration
GSLE,govadm,State and local government enterprises,E25,Governmental administration
493,govadm,Warehousing and storage,E31,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",E31,Governmental administration
512,govadm,Motion picture and sound recording industries,E31,Governmental administration
513,govadm,Broadcasting and telecommunications,E31,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",E31,Governmental administration
HS,govadm,Housing,E31,Governmental administration
ORE,govadm,Other real estate,E31,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,E31,Governmental administration
5411,govadm,Legal services,E31,Governmental administration
5415,govadm,Computer systems design and related services,E31,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",E31,Governmental administration
55,govadm,Management of companies and enterprises,E31,Governmental administration
561,govadm,Administrative and support services,E31,Governmental administration
GFGD,govadm,Federal general government (defense),E31,Governmental administration
GFGN,govadm,Federal general government (nondefense),E31,Governmental administration
GFE,govadm,Federal government enterprises,E31,Governmental administration
GSLG,govadm,State and local general government,E31,Governmental administration
GSLE,govadm,State and local government enterprises,E31,Governmental administration
493,govadm,Warehousing and storage,F23,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",F23,Governmental administration
512,govadm,Motion picture and sound recording industries,F23,Governmental administration
513,govadm,Broadcasting and telecommunications,F23,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",F23,Governmental administration
HS,govadm,Housing,F23,Governmental administration
ORE,govadm,Other real estate,F23,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,F23,Governmental administration
5411,govadm,Legal services,F23,Governmental administration
5415,govadm,Computer systems design and related services,F23,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",F23,Governmental administration
55,govadm,Management of companies and enterprises,F23,Governmental administration
561,govadm,Administrative and support services,F23,Governmental administration
GFGD,govadm,Federal general government (defense),F23,Governmental administration
GFGN,govadm,Federal general government (nondefense),F23,Governmental administration
GFE,govadm,Federal government enterprises,F23,Governmental administration
GSLG,govadm,State and local general government,F23,Governmental administration
GSLE,govadm,State and local government enterprises,F23,Governmental administration
493,govadm,Warehousing and storage,G29,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",G29,Governmental administration
512,govadm,Motion picture and sound recording industries,G29,Governmental administration
513,govadm,Broadcasting and telecommunications,G29,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",G29,Governmental administration
HS,govadm,Housing,G29,Governmental administration
ORE,govadm,Other real estate,G29,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,G29,Governmental administration
5411,govadm,Legal services,G29,Governmental administration
5415,govadm,Computer systems design and related services,G29,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",G29,Governmental administration
55,govadm,Management of companies and enterprises,G29,Governmental administration
561,govadm,Administrative and support services,G29,Governmental administration
GFGD,govadm,Federal general government (defense),G29,Governmental administration
GFGN,govadm,Federal general government (nondefense),G29,Governmental administration
GFE,govadm,Federal government enterprises,G29,Governmental administration
GSLG,govadm,State and local general government,G29,Governmental administration
GSLE,govadm,State and local government enterprises,G29,Governmental administration
493,govadm,Warehousing and storage,F25,Governmental administration
511,govadm,"Publishing industries, except internet (includes software)",F25,Governmental administration
512,govadm,Motion picture and sound recording industries,F25,Governmental administration
513,govadm,Broadcasting and telecommunications,F25,Governmental administration
514,govadm,"Data processing, internet publishing, and other information",F25,Governmental administration
HS,govadm,Housing,F25,Governmental administration
ORE,govadm,Other real estate,F25,Governmental administration
532RL,govadm,Rental and leasing services and lessors of intangible assets,F25,Governmental administration
5411,govadm,Legal services,F25,Governmental administration
5415,govadm,Computer systems design and related services,F25,Governmental administration
5412OP,govadm,"Miscellaneous professional, scientific, and technical services",F25,Governmental administration
55,govadm,Management of companies and enterprises,F25,Governmental administration
561,govadm,Administrative and support services,F25,Governmental administration
GFGD,govadm,Federal general government (defense),F25,Governmental administration
GFGN,govadm,Federal general government (nondefense),F25,Governmental administration
GFE,govadm,Federal government enterprises,F25,Governmental administration
GSLG,govadm,State and local general government,F25,Governmental administration
GSLE,govadm,State and local government enterprises,F25,Governmental administration
521CI,intgen,"Federal Reserve banks, credit intermediation, and related activ",I89,Interest on general debt
523,intgen,"Securities, commodity contracts, and investments",I89,Interest on general debt
524,intgen,Insurance carriers and related activities,I89,Interest on general debt
525,intgen,"Funds, trusts, and other financial vehicles",I89,Interest on general debt
324,othuna,Petroleum refineries,G89,Other and unallocable
325,othuna,Chemical products,G89,Other and unallocable
326,othuna,Plastics and rubber products,G89,Other and unallocable
327,othuna,Nonmetallic mineral products,G89,Other and unallocable
331,othuna,Primary metals,G89,Other and unallocable
332,othuna,Fabricated metal products,G89,Other and unallocable
333,othuna,Machinery,G89,Other and unallocable
334,othuna,Computer and electronic products,G89,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G89,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G89,Other and unallocable
3364OT,othuna,Other transportation equipment,G89,Other and unallocable
337,othuna,Furniture and related products,G89,Other and unallocable
339,othuna,Miscellaneous manufacturing,G89,Other and unallocable
42,othuna,Wholesale trade,G89,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G89,Other and unallocable
452,othuna,General merchandise stores,G89,Other and unallocable
4A0,othuna,Other retail,G89,Other and unallocable
81,othuna,"Other services, except government",G89,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G89,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G89,Other and unallocable
324,othuna,Petroleum refineries,F85,Other and unallocable
325,othuna,Chemical products,F85,Other and unallocable
326,othuna,Plastics and rubber products,F85,Other and unallocable
327,othuna,Nonmetallic mineral products,F85,Other and unallocable
331,othuna,Primary metals,F85,Other and unallocable
332,othuna,Fabricated metal products,F85,Other and unallocable
333,othuna,Machinery,F85,Other and unallocable
334,othuna,Computer and electronic products,F85,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F85,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F85,Other and unallocable
3364OT,othuna,Other transportation equipment,F85,Other and unallocable
337,othuna,Furniture and related products,F85,Other and unallocable
339,othuna,Miscellaneous manufacturing,F85,Other and unallocable
42,othuna,Wholesale trade,F85,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F85,Other and unallocable
452,othuna,General merchandise stores,F85,Other and unallocable
4A0,othuna,Other retail,F85,Other and unallocable
81,othuna,"Other services, except government",F85,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F85,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F85,Other and unallocable
324,othuna,Petroleum refineries,M60,Other and unallocable
325,othuna,Chemical products,M60,Other and unallocable
326,othuna,Plastics and rubber products,M60,Other and unallocable
327,othuna,Nonmetallic mineral products,M60,Other and unallocable
331,othuna,Primary metals,M60,Other and unallocable
332,othuna,Fabricated metal products,M60,Other and unallocable
333,othuna,Machinery,M60,Other and unallocable
334,othuna,Computer and electronic products,M60,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",M60,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",M60,Other and unallocable
3364OT,othuna,Other transportation equipment,M60,Other and unallocable
337,othuna,Furniture and related products,M60,Other and unallocable
339,othuna,Miscellaneous manufacturing,M60,Other and unallocable
42,othuna,Wholesale trade,M60,Other and unallocable
441,othuna,Motor vehicle and parts dealers,M60,Other and unallocable
452,othuna,General merchandise stores,M60,Other and unallocable
4A0,othuna,Other retail,M60,Other and unallocable
81,othuna,"Other services, except government",M60,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",M60,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,M60,Other and unallocable
324,othuna,Petroleum refineries,F03,Other and unallocable
325,othuna,Chemical products,F03,Other and unallocable
326,othuna,Plastics and rubber products,F03,Other and unallocable
327,othuna,Nonmetallic mineral products,F03,Other and unallocable
331,othuna,Primary metals,F03,Other and unallocable
332,othuna,Fabricated metal products,F03,Other and unallocable
333,othuna,Machinery,F03,Other and unallocable
334,othuna,Computer and electronic products,F03,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F03,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F03,Other and unallocable
3364OT,othuna,Other transportation equipment,F03,Other and unallocable
337,othuna,Furniture and related products,F03,Other and unallocable
339,othuna,Miscellaneous manufacturing,F03,Other and unallocable
42,othuna,Wholesale trade,F03,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F03,Other and unallocable
452,othuna,General merchandise stores,F03,Other and unallocable
4A0,othuna,Other retail,F03,Other and unallocable
81,othuna,"Other services, except government",F03,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F03,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F03,Other and unallocable
324,othuna,Petroleum refineries,F66,Other and unallocable
325,othuna,Chemical products,F66,Other and unallocable
326,othuna,Plastics and rubber products,F66,Other and unallocable
327,othuna,Nonmetallic mineral products,F66,Other and unallocable
331,othuna,Primary metals,F66,Other and unallocable
332,othuna,Fabricated metal products,F66,Other and unallocable
333,othuna,Machinery,F66,Other and unallocable
334,othuna,Computer and electronic products,F66,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F66,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F66,Other and unallocable
3364OT,othuna,Other transportation equipment,F66,Other and unallocable
337,othuna,Furniture and related products,F66,Other and unallocable
339,othuna,Miscellaneous manufacturing,F66,Other and unallocable
42,othuna,Wholesale trade,F66,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F66,Other and unallocable
452,othuna,General merchandise stores,F66,Other and unallocable
4A0,othuna,Other retail,F66,Other and unallocable
81,othuna,"Other services, except government",F66,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F66,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F66,Other and unallocable
324,othuna,Petroleum refineries,M50,Other and unallocable
325,othuna,Chemical products,M50,Other and unallocable
326,othuna,Plastics and rubber products,M50,Other and unallocable
327,othuna,Nonmetallic mineral products,M50,Other and unallocable
331,othuna,Primary metals,M50,Other and unallocable
332,othuna,Fabricated metal products,M50,Other and unallocable
333,othuna,Machinery,M50,Other and unallocable
334,othuna,Computer and electronic products,M50,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",M50,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",M50,Other and unallocable
3364OT,othuna,Other transportation equipment,M50,Other and unallocable
337,othuna,Furniture and related products,M50,Other and unallocable
339,othuna,Miscellaneous manufacturing,M50,Other and unallocable
42,othuna,Wholesale trade,M50,Other and unallocable
441,othuna,Motor vehicle and parts dealers,M50,Other and unallocable
452,othuna,General merchandise stores,M50,Other and unallocable
4A0,othuna,Other retail,M50,Other and unallocable
81,othuna,"Other services, except government",M50,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",M50,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,M50,Other and unallocable
324,othuna,Petroleum refineries,E22,Other and unallocable
325,othuna,Chemical products,E22,Other and unallocable
326,othuna,Plastics and rubber products,E22,Other and unallocable
327,othuna,Nonmetallic mineral products,E22,Other and unallocable
331,othuna,Primary metals,E22,Other and unallocable
332,othuna,Fabricated metal products,E22,Other and unallocable
333,othuna,Machinery,E22,Other and unallocable
334,othuna,Computer and electronic products,E22,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E22,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E22,Other and unallocable
3364OT,othuna,Other transportation equipment,E22,Other and unallocable
337,othuna,Furniture and related products,E22,Other and unallocable
339,othuna,Miscellaneous manufacturing,E22,Other and unallocable
42,othuna,Wholesale trade,E22,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E22,Other and unallocable
452,othuna,General merchandise stores,E22,Other and unallocable
4A0,othuna,Other retail,E22,Other and unallocable
81,othuna,"Other services, except government",E22,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E22,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E22,Other and unallocable
324,othuna,Petroleum refineries,M89,Other and unallocable
325,othuna,Chemical products,M89,Other and unallocable
326,othuna,Plastics and rubber products,M89,Other and unallocable
327,othuna,Nonmetallic mineral products,M89,Other and unallocable
331,othuna,Primary metals,M89,Other and unallocable
332,othuna,Fabricated metal products,M89,Other and unallocable
333,othuna,Machinery,M89,Other and unallocable
334,othuna,Computer and electronic products,M89,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",M89,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",M89,Other and unallocable
3364OT,othuna,Other transportation equipment,M89,Other and unallocable
337,othuna,Furniture and related products,M89,Other and unallocable
339,othuna,Miscellaneous manufacturing,M89,Other and unallocable
42,othuna,Wholesale trade,M89,Other and unallocable
441,othuna,Motor vehicle and parts dealers,M89,Other and unallocable
452,othuna,General merchandise stores,M89,Other and unallocable
4A0,othuna,Other retail,M89,Other and unallocable
81,othuna,"Other services, except government",M89,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",M89,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,M89,Other and unallocable
324,othuna,Petroleum refineries,M81,Other and unallocable
325,othuna,Chemical products,M81,Other and unallocable
326,othuna,Plastics and rubber products,M81,Other and unallocable
327,othuna,Nonmetallic mineral products,M81,Other and unallocable
331,othuna,Primary metals,M81,Other and unallocable
332,othuna,Fabricated metal products,M81,Other and unallocable
333,othuna,Machinery,M81,Other and unallocable
334,othuna,Computer and electronic products,M81,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",M81,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",M81,Other and unallocable
3364OT,othuna,Other transportation equipment,M81,Other and unallocable
337,othuna,Furniture and related products,M81,Other and unallocable
339,othuna,Miscellaneous manufacturing,M81,Other and unallocable
42,othuna,Wholesale trade,M81,Other and unallocable
441,othuna,Motor vehicle and parts dealers,M81,Other and unallocable
452,othuna,General merchandise stores,M81,Other and unallocable
4A0,othuna,Other retail,M81,Other and unallocable
81,othuna,"Other services, except government",M81,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",M81,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,M81,Other and unallocable
324,othuna,Petroleum refineries,E85,Other and unallocable
325,othuna,Chemical products,E85,Other and unallocable
326,othuna,Plastics and rubber products,E85,Other and unallocable
327,othuna,Nonmetallic mineral products,E85,Other and unallocable
331,othuna,Primary metals,E85,Other and unallocable
332,othuna,Fabricated metal products,E85,Other and unallocable
333,othuna,Machinery,E85,Other and unallocable
334,othuna,Computer and electronic products,E85,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E85,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E85,Other and unallocable
3364OT,othuna,Other transportation equipment,E85,Other and unallocable
337,othuna,Furniture and related products,E85,Other and unallocable
339,othuna,Miscellaneous manufacturing,E85,Other and unallocable
42,othuna,Wholesale trade,E85,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E85,Other and unallocable
452,othuna,General merchandise stores,E85,Other and unallocable
4A0,othuna,Other retail,E85,Other and unallocable
81,othuna,"Other services, except government",E85,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E85,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E85,Other and unallocable
324,othuna,Petroleum refineries,F50,Other and unallocable
325,othuna,Chemical products,F50,Other and unallocable
326,othuna,Plastics and rubber products,F50,Other and unallocable
327,othuna,Nonmetallic mineral products,F50,Other and unallocable
331,othuna,Primary metals,F50,Other and unallocable
332,othuna,Fabricated metal products,F50,Other and unallocable
333,othuna,Machinery,F50,Other and unallocable
334,othuna,Computer and electronic products,F50,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F50,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F50,Other and unallocable
3364OT,othuna,Other transportation equipment,F50,Other and unallocable
337,othuna,Furniture and related products,F50,Other and unallocable
339,othuna,Miscellaneous manufacturing,F50,Other and unallocable
42,othuna,Wholesale trade,F50,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F50,Other and unallocable
452,othuna,General merchandise stores,F50,Other and unallocable
4A0,othuna,Other retail,F50,Other and unallocable
81,othuna,"Other services, except government",F50,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F50,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F50,Other and unallocable
324,othuna,Petroleum refineries,G22,Other and unallocable
325,othuna,Chemical products,G22,Other and unallocable
326,othuna,Plastics and rubber products,G22,Other and unallocable
327,othuna,Nonmetallic mineral products,G22,Other and unallocable
331,othuna,Primary metals,G22,Other and unallocable
332,othuna,Fabricated metal products,G22,Other and unallocable
333,othuna,Machinery,G22,Other and unallocable
334,othuna,Computer and electronic products,G22,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G22,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G22,Other and unallocable
3364OT,othuna,Other transportation equipment,G22,Other and unallocable
337,othuna,Furniture and related products,G22,Other and unallocable
339,othuna,Miscellaneous manufacturing,G22,Other and unallocable
42,othuna,Wholesale trade,G22,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G22,Other and unallocable
452,othuna,General merchandise stores,G22,Other and unallocable
4A0,othuna,Other retail,G22,Other and unallocable
81,othuna,"Other services, except government",G22,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G22,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G22,Other and unallocable
324,othuna,Petroleum refineries,E89,Other and unallocable
325,othuna,Chemical products,E89,Other and unallocable
326,othuna,Plastics and rubber products,E89,Other and unallocable
327,othuna,Nonmetallic mineral products,E89,Other and unallocable
331,othuna,Primary metals,E89,Other and unallocable
332,othuna,Fabricated metal products,E89,Other and unallocable
333,othuna,Machinery,E89,Other and unallocable
334,othuna,Computer and electronic products,E89,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E89,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E89,Other and unallocable
3364OT,othuna,Other transportation equipment,E89,Other and unallocable
337,othuna,Furniture and related products,E89,Other and unallocable
339,othuna,Miscellaneous manufacturing,E89,Other and unallocable
42,othuna,Wholesale trade,E89,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E89,Other and unallocable
452,othuna,General merchandise stores,E89,Other and unallocable
4A0,othuna,Other retail,E89,Other and unallocable
81,othuna,"Other services, except government",E89,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E89,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E89,Other and unallocable
324,othuna,Petroleum refineries,G85,Other and unallocable
325,othuna,Chemical products,G85,Other and unallocable
326,othuna,Plastics and rubber products,G85,Other and unallocable
327,othuna,Nonmetallic mineral products,G85,Other and unallocable
331,othuna,Primary metals,G85,Other and unallocable
332,othuna,Fabricated metal products,G85,Other and unallocable
333,othuna,Machinery,G85,Other and unallocable
334,othuna,Computer and electronic products,G85,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G85,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G85,Other and unallocable
3364OT,othuna,Other transportation equipment,G85,Other and unallocable
337,othuna,Furniture and related products,G85,Other and unallocable
339,othuna,Miscellaneous manufacturing,G85,Other and unallocable
42,othuna,Wholesale trade,G85,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G85,Other and unallocable
452,othuna,General merchandise stores,G85,Other and unallocable
4A0,othuna,Other retail,G85,Other and unallocable
81,othuna,"Other services, except government",G85,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G85,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G85,Other and unallocable
324,othuna,Petroleum refineries,E87,Other and unallocable
325,othuna,Chemical products,E87,Other and unallocable
326,othuna,Plastics and rubber products,E87,Other and unallocable
327,othuna,Nonmetallic mineral products,E87,Other and unallocable
331,othuna,Primary metals,E87,Other and unallocable
332,othuna,Fabricated metal products,E87,Other and unallocable
333,othuna,Machinery,E87,Other and unallocable
334,othuna,Computer and electronic products,E87,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E87,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E87,Other and unallocable
3364OT,othuna,Other transportation equipment,E87,Other and unallocable
337,othuna,Furniture and related products,E87,Other and unallocable
339,othuna,Miscellaneous manufacturing,E87,Other and unallocable
42,othuna,Wholesale trade,E87,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E87,Other and unallocable
452,othuna,General merchandise stores,E87,Other and unallocable
4A0,othuna,Other retail,E87,Other and unallocable
81,othuna,"Other services, except government",E87,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E87,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E87,Other and unallocable
324,othuna,Petroleum refineries,G81,Other and unallocable
325,othuna,Chemical products,G81,Other and unallocable
326,othuna,Plastics and rubber products,G81,Other and unallocable
327,othuna,Nonmetallic mineral products,G81,Other and unallocable
331,othuna,Primary metals,G81,Other and unallocable
332,othuna,Fabricated metal products,G81,Other and unallocable
333,othuna,Machinery,G81,Other and unallocable
334,othuna,Computer and electronic products,G81,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G81,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G81,Other and unallocable
3364OT,othuna,Other transportation equipment,G81,Other and unallocable
337,othuna,Furniture and related products,G81,Other and unallocable
339,othuna,Miscellaneous manufacturing,G81,Other and unallocable
42,othuna,Wholesale trade,G81,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G81,Other and unallocable
452,othuna,General merchandise stores,G81,Other and unallocable
4A0,othuna,Other retail,G81,Other and unallocable
81,othuna,"Other services, except government",G81,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G81,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G81,Other and unallocable
324,othuna,Petroleum refineries,G01,Other and unallocable
325,othuna,Chemical products,G01,Other and unallocable
326,othuna,Plastics and rubber products,G01,Other and unallocable
327,othuna,Nonmetallic mineral products,G01,Other and unallocable
331,othuna,Primary metals,G01,Other and unallocable
332,othuna,Fabricated metal products,G01,Other and unallocable
333,othuna,Machinery,G01,Other and unallocable
334,othuna,Computer and electronic products,G01,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G01,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G01,Other and unallocable
3364OT,othuna,Other transportation equipment,G01,Other and unallocable
337,othuna,Furniture and related products,G01,Other and unallocable
339,othuna,Miscellaneous manufacturing,G01,Other and unallocable
42,othuna,Wholesale trade,G01,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G01,Other and unallocable
452,othuna,General merchandise stores,G01,Other and unallocable
4A0,othuna,Other retail,G01,Other and unallocable
81,othuna,"Other services, except government",G01,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G01,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G01,Other and unallocable
324,othuna,Petroleum refineries,G50,Other and unallocable
325,othuna,Chemical products,G50,Other and unallocable
326,othuna,Plastics and rubber products,G50,Other and unallocable
327,othuna,Nonmetallic mineral products,G50,Other and unallocable
331,othuna,Primary metals,G50,Other and unallocable
332,othuna,Fabricated metal products,G50,Other and unallocable
333,othuna,Machinery,G50,Other and unallocable
334,othuna,Computer and electronic products,G50,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G50,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G50,Other and unallocable
3364OT,othuna,Other transportation equipment,G50,Other and unallocable
337,othuna,Furniture and related products,G50,Other and unallocable
339,othuna,Miscellaneous manufacturing,G50,Other and unallocable
42,othuna,Wholesale trade,G50,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G50,Other and unallocable
452,othuna,General merchandise stores,G50,Other and unallocable
4A0,othuna,Other retail,G50,Other and unallocable
81,othuna,"Other services, except government",G50,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G50,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G50,Other and unallocable
324,othuna,Petroleum refineries,F22,Other and unallocable
325,othuna,Chemical products,F22,Other and unallocable
326,othuna,Plastics and rubber products,F22,Other and unallocable
327,othuna,Nonmetallic mineral products,F22,Other and unallocable
331,othuna,Primary metals,F22,Other and unallocable
332,othuna,Fabricated metal products,F22,Other and unallocable
333,othuna,Machinery,F22,Other and unallocable
334,othuna,Computer and electronic products,F22,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F22,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F22,Other and unallocable
3364OT,othuna,Other transportation equipment,F22,Other and unallocable
337,othuna,Furniture and related products,F22,Other and unallocable
339,othuna,Miscellaneous manufacturing,F22,Other and unallocable
42,othuna,Wholesale trade,F22,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F22,Other and unallocable
452,othuna,General merchandise stores,F22,Other and unallocable
4A0,othuna,Other retail,F22,Other and unallocable
81,othuna,"Other services, except government",F22,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F22,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F22,Other and unallocable
324,othuna,Petroleum refineries,F52,Other and unallocable
325,othuna,Chemical products,F52,Other and unallocable
326,othuna,Plastics and rubber products,F52,Other and unallocable
327,othuna,Nonmetallic mineral products,F52,Other and unallocable
331,othuna,Primary metals,F52,Other and unallocable
332,othuna,Fabricated metal products,F52,Other and unallocable
333,othuna,Machinery,F52,Other and unallocable
334,othuna,Computer and electronic products,F52,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F52,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F52,Other and unallocable
3364OT,othuna,Other transportation equipment,F52,Other and unallocable
337,othuna,Furniture and related products,F52,Other and unallocable
